,date,CASH,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
170,2016-11-04,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
171,2016-11-09,0.0,0.0,0.31623963,0.31623963,0.051281102,0.0,0.0,0.0,0.0,0.31623963,0.0
172,2016-11-14,0.0,0.0,0.35868406,0.28263187,0.0,0.0,0.0,0.0,0.0,0.35868406,0.0
173,2016-11-17,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
174,2016-11-22,0.0,0.0,0.32521567,0.32521567,0.024353,0.0,0.0,0.0,0.0,0.32521567,0.0
175,2016-11-28,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
176,2016-12-01,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
177,2016-12-06,0.0,0.0,0.32388538,0.32388538,0.028343901,0.0,0.0,0.0,0.0,0.32388538,0.0
178,2016-12-09,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
179,2016-12-14,0.0,0.0,0.30171165,0.30171165,0.09486504,0.0,0.0,0.0,0.0,0.30171165,0.0
180,2016-12-19,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
181,2016-12-22,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
182,2016-12-28,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
183,2017-01-03,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
184,2017-01-06,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
185,2017-01-11,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
186,2017-01-17,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
187,2017-01-20,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
188,2017-01-25,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
189,2017-01-30,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
190,2017-02-02,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
191,2017-02-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
192,2017-02-10,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
193,2017-02-15,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
194,2017-02-21,0.0,0.0,0.27551115,0.27551115,0.17346656,0.0,0.0,0.0,0.0,0.27551115,0.0
195,2017-02-24,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
196,2017-03-01,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
197,2017-03-06,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
198,2017-03-09,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
199,2017-03-14,0.0,0.0,0.3263515,0.3263515,0.020945506,0.0,0.0,0.0,0.0,0.3263515,0.0
200,2017-03-17,0.0,0.0,0.32624865,0.32624865,0.021254048,0.0,0.0,0.0,0.0,0.32624865,0.0
201,2017-03-22,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
202,2017-03-27,0.0,0.0,0.32929572,0.32929572,0.012112773,0.0,0.0,0.0,0.0,0.32929572,0.0
203,2017-03-30,0.0,0.0,0.32459533,0.32459533,0.026214048,0.0,0.0,0.0,0.0,0.32459533,0.0
204,2017-04-04,0.0,0.0,0.29588002,0.29588002,0.11235995,0.0,0.0,0.0,0.0,0.29588002,0.0
205,2017-04-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
206,2017-04-12,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
207,2017-04-18,0.0,0.0,0.3119,0.3119,0.064300016,0.0,0.0,0.0,0.0,0.3119,0.0
208,2017-04-21,0.0,0.0,0.3060934,0.3060934,0.08171978,0.0,0.0,0.0,0.0,0.3060934,0.0
209,2017-04-26,0.0,0.0,0.30429247,0.30429247,0.08712263,0.0,0.0,0.0,0.0,0.30429247,0.0
210,2017-05-01,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
211,2017-05-04,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
212,2017-05-09,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
213,2017-05-12,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
214,2017-05-17,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
215,2017-05-22,0.0,0.0,0.38478804,0.23042391,0.0,0.0,0.0,0.0,0.0,0.38478804,0.0
216,2017-05-25,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
217,2017-05-31,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
218,2017-06-05,0.0,0.0,0.34719536,0.30560926,0.0,0.0,0.0,0.0,0.0,0.34719536,0.0
219,2017-06-08,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
220,2017-06-13,0.0,0.0,0.2961786,0.2961786,0.11146418,0.0,0.0,0.0,0.0,0.2961786,0.0
221,2017-06-16,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
222,2017-06-21,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
223,2017-06-26,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
224,2017-06-29,0.0,0.0,0.26747376,0.26747376,0.19757877,0.0,0.0,0.0,0.0,0.26747376,0.0
225,2017-07-05,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
226,2017-07-10,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
227,2017-07-13,0.0,0.0,0.26195693,0.26195693,0.21412924,0.0,0.0,0.0,0.0,0.26195693,0.0
228,2017-07-18,0.0,0.0,0.29504672,0.29504672,0.11485981,0.0,0.0,0.0,0.0,0.29504672,0.0
