,UCRP
2021-08-05,6.368662034527221
2021-08-10,6.434917419181182
2021-08-13,6.4763486868940925
2021-08-18,6.270314028167919
2021-08-23,6.455885515501193
2021-08-26,6.498581715045658
2021-08-31,6.542054325849737
2021-09-03,6.52003261231097
2021-09-09,6.4728020779291
2021-09-14,6.451266543828511
2021-09-17,6.448560052238607
2021-09-22,6.415478077765585
2021-09-27,6.529021601713323
2021-09-30,6.322031507021431
2021-10-05,6.412396173285077
2021-10-08,6.4857551292528886
2021-10-13,6.359974413968596
2021-10-18,6.597156699693312
2021-10-21,6.649194634418507
2021-10-26,6.58973329839623
2021-10-29,6.69328066450435
2021-11-03,6.779463028159148
2021-11-08,6.947647557382342
2021-11-11,6.868422102748254
2021-11-16,6.91438946698292
2021-11-19,6.956854602669763
2021-11-24,6.9771940723762205
2021-11-30,6.772597881962096
2021-12-03,6.669477046421207
2021-12-08,6.9345681701849164
2021-12-13,6.711720998269851
2021-12-16,6.698811998365811
2021-12-21,6.684222066856871
2021-12-27,6.868131713822866
2021-12-30,6.796524878061528
2022-01-04,6.95810975776016
2022-01-07,6.853978105071119
2022-01-12,7.005174087071033
2022-01-18,6.765373399307833
2022-01-21,6.380044339603988
2022-01-26,6.325680375585394
2022-01-31,6.5285288352674025
2022-02-03,6.511210554611317
2022-02-08,6.778309010432027
2022-02-11,6.609266588161532
2022-02-16,6.77385857950825
2022-02-22,6.371863697055217
2022-02-25,6.456679159277672
2022-03-02,6.382526766043386
2022-03-07,5.857988628236157
2022-03-10,6.037713064061694
2022-03-15,6.023491476461959
2022-03-18,6.419623466054721
2022-03-23,6.412579278317275
2022-03-28,6.617037296202613
2022-03-31,6.444061905049067
2022-04-05,6.345756625496767
2022-04-08,6.11976797677005
2022-04-13,6.052783757309478
2022-04-19,6.112229467558928
2022-04-22,5.785319663764918
2022-04-27,5.547624365261236
2022-05-02,5.500298704174527
2022-05-05,5.495309930398128
2022-05-10,5.2486593491593085
2022-05-13,5.193996332572183
2022-05-18,5.084751988528882
2022-05-23,5.170180275375975
2022-05-26,5.29917513479021
2022-06-01,5.424581170362338
2022-06-06,5.463890474453023
2022-06-09,5.246889993372829
2022-06-14,4.779856571136323
2022-06-17,4.863070207704636
2022-06-23,4.9621998346373095
2022-06-28,4.993413704126603
2022-07-01,4.92508531831678
2022-07-07,5.124257981800432
2022-07-12,5.0077166590023525
2022-07-15,5.142854997620666
2022-07-20,5.397179735089928
2022-07-25,5.313774054383899
2022-07-28,5.445441609459848
2022-08-02,5.4614321655018205
2022-08-05,5.5907690259189184
2022-08-10,5.657691728178017
2022-08-15,5.788855675912678
2022-08-18,5.753344402195154
2022-08-23,5.444972471050904
2022-08-26,5.343209196059223
2022-08-31,5.189166197747133
2022-09-06,5.031430239166655
2022-09-09,5.257414544086652
2022-09-14,5.008440607248928
2022-09-19,4.9842419070331765
2022-09-22,4.764342069714431
2022-09-27,4.592288778764151
2022-09-30,4.463825478244617
2022-10-05,4.779028403500251
2022-10-10,4.508610954429336
2022-10-13,4.6056963790695296
2022-10-18,4.725506613746037
2022-10-21,4.827548219574351
2022-10-26,4.792844878361446
2022-10-31,4.839726016576174
2022-11-03,4.655483208324935
2022-11-08,4.881764422141329
2022-11-11,5.230940209637027
2022-11-16,5.126561900518304
2022-11-21,5.06644999554956
2022-11-25,5.161837470311647
2022-11-30,5.260802247207994
2022-12-05,5.097179972329703
