Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
76	1.4183004	0.1721473	1.6804639	1.1068565	500.0	0.1494782	0.13007854	0.6367404	-0.07029457	385000	-4.9663708e-08	0.0042947764	0.008406286	-0.00038703578	0.7870106	0.020676361	0.2334	1.0	405.4779624938965
77	1.4422158	0.16804647	1.655685	1.1287508	500.0	0.15895182	0.12257956	0.6157695	-0.039178036	390000	8.325204e-08	0.004101168	0.00795542	-0.0003836737	0.7868239	0.02281482	0.2252	1.0	410.0858142375946
78	1.4175327	0.11796718	1.6025996	1.2515172	500.0	0.15741569	0.1326656	0.6434567	-0.037706748	395000	3.0857326e-08	0.0031755292	0.00954094	-0.0003240388	0.78664243	0.018189056	0.2126	1.0	414.71202540397644
79	1.4027607	0.21925925	1.8216078	1.1155896	500.0	0.15928312	0.12347705	0.61995286	-0.01747062	400000	7.1311e-08	0.0050410004	0.006269415	-0.00041772984	0.786461	0.021567276	0.1866	1.0	419.3857572078705
80	1.4296186	0.2100949	1.8699936	1.1498817	500.0	0.15608823	0.12020465	0.6180563	-0.049442545	405000	-1.5413017e-08	0.0050439555	0.011671076	-0.0006809756	0.7862973	0.017544897	0.2404	1.0	424.03062748908997
81	1.4467317	0.09836867	1.5890728	1.3064387	500.0	0.1584688	0.13380459	0.64348036	-0.03794039	410000	8.573234e-08	0.0031172528	0.006955924	-0.000247268	0.7861143	0.018231262	0.2216	2.0	428.74291467666626
82	1.4181733	0.13943507	1.6540415	1.1836298	500.0	0.1630343	0.13070844	0.6248727	-0.01650177	415000	3.4213066e-08	0.0034256165	0.020385621	-9.54601e-05	0.78575945	0.035069983	0.3424	1.0	433.3701825141907
83	1.444415	0.18455726	1.7212619	1.1626343	500.0	0.15950203	0.12885344	0.61570656	-0.019375458	420000	7.628203e-08	0.003989571	0.023567658	-4.6316534e-05	0.78559554	0.04336243	0.3592	1.0	438.00393509864807
84	1.4032438	0.18097636	1.6790626	1.185655	500.0	0.16130744	0.12993447	0.63013375	-0.020517066	425000	-2.7167797e-08	0.0040938677	0.020502666	-0.00031758915	0.78540087	0.032405727	0.3078	1.0	442.6490569114685
85	1.4177486	0.16149837	1.7360232	1.1103528	500.0	0.151988	0.13228677	0.6368268	-0.038251698	430000	-4.7147275e-08	0.0035001389	0.011476692	-0.00049486896	0.7852103	0.018216357	0.2128	1.0	447.34956431388855
86	1.248427	0.19123219	1.5838765	1.020442	500.0	0.16098769	0.12036271	0.6140482	-0.0045556277	435000	-6.3234566e-08	0.0042212377	0.0073400154	-0.0012007752	0.78500843	0.02130913	0.2046	1.0	451.98840737342834
